"","county_name","percent_act_ela_below_basic","average_act_reading_percentile","percent_12th_grade_ell","percent_graduates","percent_wsas_ela_below_basic_3_5","year","unemployment"
"46","OZAUKEE",11.2,66,0.3,96.4,7.4,"2016-2017",2.1
"47","PEPIN",21.6,55,0,97.6,17.4,"2016-2017",3.1
"48","PIERCE",17.8,55,0.3,95.8,10.1,"2016-2017",2.9
"49","POLK",24,48,0.4,94.1,16.1,"2016-2017",4.1
"50","PORTAGE",28.4,48,2.4,91.5,16.4,"2016-2017",2.7
"51","PRICE",20.6,48,1.4,94.5,19.4,"2016-2017",3.9
"52","RACINE",34.8,42,4.7,82.6,31.7,"2016-2017",3.2
"53","RICHLAND",43,42,0,91.4,19.6,"2016-2017",2.3
"54","ROCK",33.5,42,3.3,91.8,20.3,"2016-2017",2.8
"55","RUSK",42.5,36,0,89.1,21.9,"2016-2017",3.9
"56","SAINT CROIX",19,55,0.2,94.8,9.8,"2016-2017",2.8
"57","SAUK",23.1,48,1.1,90.8,18,"2016-2017",2.4
"58","SAWYER",41,36,0,87.8,14.6,"2016-2017",5.4
"59","SHAWANO",26.3,42,0.4,91.2,21.8,"2016-2017",3.1
"60","SHEBOYGAN",26.3,48,2.5,93.7,17.1,"2016-2017",2.2
"61","TAYLOR",34.9,42,1.2,90.7,14.5,"2016-2017",3.3
"62","TREMPEALEAU",33.2,42,2.6,95.1,21.4,"2016-2017",2.8
"63","VERNON",26.3,48,0.3,95.4,17.2,"2016-2017",2.7
"64","VILAS",19.8,48,0.9,98.2,17.2,"2016-2017",5.2
"65","WALWORTH",26,48,3,93.1,15.3,"2016-2017",2.5
"66","WASHBURN",33.3,42,0,92.8,21.4,"2016-2017",4.2
"67","WASHINGTON",18.8,55,0.3,93.1,9.2,"2016-2017",2.1
"68","WAUKESHA",14.8,61,1,94.8,10.5,"2016-2017",2.2
"69","WAUPACA",28.9,42,0.8,89.5,13.1,"2016-2017",2.8
"70","WAUSHARA",35.6,42,4.8,90.9,13.6,"2016-2017",3.3
"71","WINNEBAGO",26.7,48,2.1,91,19.8,"2016-2017",2.4
"72","WOOD",25.1,55,0.7,92.4,14.6,"2016-2017",3.3
"73","MEANS FOR 16-17...",28.7098591549296,46.0281690140845,1.2,91.65,18.1861111111111,"2016-2017",3.27083333333333
